col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Polarlys,19.5,11341.0,[0]
Berlin,17.5,9570.0,[0]
Ocean Dream,22.8,17042.0,[0]
Regal Princess,38.4,142714.0,[0]
SS Orsova,27.6,,[0]
American Spirit,,1955.0,[0]
Royal Princess,38.4,142714.0,[0]
MS Fram,20.2,12800.0,[0]
Ambition,28.8,48200.0,[0]
Karizma,,494.0,[0]
Paul Gauguin,,19170.0,[0]
Sea Diamond,25.15,21484.0,[0]
RMS Caronia,27.8,,[0]
SS Uganda,21.7,,[0]
Pride of America,32.2,80439.0,[0]
Aleksandr Grin,15.0,,[0]
SS Orcades,28.49,,[0]
Southern Cross,24.0,,[0]
