col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Si,0.0,177.0,[0]
Fred Hunt,15.0,,[0]
Dennis Wolf,,180.0,[0]
Johann Jakob Bodmer,,163.0,[0]
Andreas Karlsson,16.0,,[0]
Pierluigi Casiraghi,0.0,182.0,[0]
Hassan Mostafa,0.0,172.0,[0]
David Svoboda,,183.0,[0]
Charlotte Becker,,173.0,[0]
Santiago Ezquerro,0.0,181.0,[0]
Bob Wilkie,2.0,,[0]
Gary Sargent,61.0,,[0]
Bob Hurlburt,0.0,,[0]
Mike Hough,100.0,,[0]
George Horne,9.0,,[0]
Harrison Ford,,185.0,[0]
Federico Marchetti,,188.0,[0]
Mauro Caballero,0.0,175.0,[0]
John Arundel,0.0,,[0]
Raul Machado,0.0,,[0]
