col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
Dresden cargo ship,,22.2,[0]
VCS 420 Type container ship,,20.1,[0]
Master Mariners container ship,,23.16,[0]
WAG FT-16,2000.0,,[0]
Almirante Pereira da Silva-class frigate,1194.0,11.7,[0]
Vista (2002)-class cruise ship,,32.2,[0]
UASC A15-class container ship,,51.0,[0]
Dido-class light cruiser,,15.4,[0]
Braunschweig-class corvette,,13.28,[0]
Norasia-Fribourg-class container ship,,32.24,[0]
Marburg cargo ship,,16.4,[0]
Schwalbe-class cruiser,,9.36,[0]
NedLloyd Tasman-class container ship,,40.0,[0]
SD18 cargo ship,,22.86,[0]
Elbe-class replenishment ship,,15.4,[0]
Arklow R-class coaster,,14.18,[0]
Project 61 guided missile destroyer,,15.8,[0]
C-Box-class container ship,,23.6,[0]
Oktyabrskaya Revolyutsiya-class motorship,,14.98,[0]
Ivan Rogov-class landing ship,,23.8,[0]
