col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Sariakandi Upazila,,408.5,16.0,[0]
Mujibnagar Upazila,,112.68,14.0,[0]
Satkania Upazila,384806.0,282.4,,[0]
Raomari Upazila,,197.8,24.0,[0]
Betagi Upazila,117145.0,41452.0,10.0,[0]
Rajarhat Upazila,,166.23,30.0,[0]
Sarail Upazila,34950.0,215.28,7.0,[0]
Jhikargacha Upazila,,307.96,9.0,[0]
Terokhada Upazila,,189.48,4.0,[0]
Chaugachha Upazila,,269.31,12.0,[0]
Kamalnagar Upazila,,315.0,6.0,[0]
"Pirganj Upazila, Thakurgaon District",,353.3,43.0,[0]
Maulvibazar Sadar Upazila,342468.0,85085.0,15.0,[0]
Chirirbandar Upazila,,308.68,36.0,[0]
Fakirhat Upazila,,160.68,12.0,[0]
Nazirpur Upazila,180408.0,56511.0,4.0,[0]
Palash Upazila,,94.43,13.0,[0]
Gabtali Upazila,265926.0,239.6,18.0,[0]
Dacope Upazila,,991.58,1.0,[0]
Dhamrai Upazila,56777.0,307.4,15.0,[0]
Kuliarchar Upazila,,104.01,9.0,[0]
Laksam Upazila,,135.61,9.0,[0]
