col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Flămânzi,109.85,10561,[0]
Baia de Arieș,79.67,3035,[0]
Lipova,135.0,10040,[0]
Murfatlar,69.25,9173,[0]
Tășnad,96.6,8058,[0]
Roznov,,8133,[0]
Plopeni,4.73,6709,[0]
Nucet,41.11,1987,[0]
Bechet,25.31,4355,[0]
Cernavodă,46.69,15088,[0]
Bumbești-Jiu,210.0,7684,[0]
Ocna Sibiului,87.47,3434,[0]
Sângeorz-Băi,146.21,10931,[0]
Horezu,117.0,6467,[0]
Dolhasca,110.35,11007,[0]
Anina,145.53,5521,[0]
Întorsura Buzăului,60.97,8332,[0]
Sebiș,65.94,5410,[0]
Zărnești,204.75,21624,[0]
Ocna Mureș,68.34,12480,[0]
Ianca,186.14,8969,[0]
Băile Tușnad,1.89,1372,[0]
Hârșova,,8737,[0]
Darabani,3.4,11948,[0]
