col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
fresco,wall painting,"[0, 1]"
lacquering,painting,"[0, 1]"
repopulation,,[0]
SCOPE,,[0]
Ferro-Gallic print,,[0]
mounting,stabilizing,"[0, 1]"
mnemonic,stimulus,"[0, 1]"
Brushwork,writing,"[0, 1]"
cold reading,psychic reading,"[0, 1]"
interpolation,,[0]
Zink,,[0]
Valsalva maneuver,,[0]
grinding,separation,"[0, 1]"
Big Data Analytics,analytics,"[0, 1]"
Selective non-catalytic reduction,,[0]
cradling,gold mining,"[0, 1]"
embroidery,subject of depiction,"[0, 1]"
decomposition,manufacturing process,"[0, 1]"
Suki,,[0]
