col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Alabama State Lands Division,Alabama Department of Conservation and Natural Resources,"[0, 1]"
Minsk City Telephone Exchange Branch,Beltelecom,"[0, 1]"
East View Press,East View,"[0, 1]"
Wise Music Classical,Wise Music Group,"[0, 1]"
HIT Movies,HIT Entertainment,"[0, 1]"
Virginia Commonwealth University Division of Strategic Enrollment Management and Student Success,Virginia Commonwealth University,"[0, 1]"
PTV Logistics,PTV Group,"[0, 1]"
SP Energy Networks,Scottish Power,"[0, 1]"
Project Celescope,Smithsonian Astrophysical Observatory,"[0, 1]"
Smithsonian Astrophysical Observatory Satellite Tracking Program,Smithsonian Astrophysical Observatory,"[0, 1]"
IHS Energy,IHS Inc.,"[0, 1]"
Skanska USA,Skanska,"[0, 1]"
Allspark Pictures,Entertainment One,"[0, 1]"
