col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1]]"
N-S 13,Fortification subsections 11.–12./V. Kunštát,,"[0, 1]"
StM-S 19,Fortification subsection 4./I. Sušina,,"[0, 1]"
Li-C-S 2 U pily,"Fortification subsection 1./VII. Polubný, Kořenov, Harrachov",,"[0, 1]"
OP-S 4,Fortification subsection 7./IV. Štítina,,"[0, 1]"
T-St-S 78 casemate,Stachelberg,,"[0, 1]"
T-JH-S 8,Jírová Hora,,"[0, 1]"
Li-G-S 5,Fortification subsection 2./VII. Mníšek,,"[0, 1]"
Three Small Links,Three Links,,"[0, 1]"
MD-S 1,Fortification subsections 9.–10./V. Deštné,,"[0, 1]"
OP-S 69,Fortification subsections 5.-6./IV. Horní Benešov,,"[0, 1]"
MJ-S 34 Rozcestí,Fortification subsection 3./XI. Mikulov,,"[0, 1]"
Sterling area hydrogeological evaluation: Project proposal,,Sterling area hydrogeological evaluation: Project proposal,[0]
Li-G-S 1,Fortification subsection 2./VII. Mníšek,,"[0, 1]"
Artificial Intelligence Act,,Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL LAYING DOWN HARMONISED RULES ON ARTIFICIAL INTELLIGENCE (ARTIFICIAL INTELLIGENCE ACT) AND AMENDING CERTAIN UNION LEGISLATIVE ACTS,[0]
T-St-S 71 casemate,Stachelberg,,"[0, 1]"
T-S 92,Fortification subsection 7./VI. Rýchory,,"[0, 1]"
OP-Š-S 31 U cesty,Šibenice,,"[0, 1]"
Li-G-S 8,Fortification subsection 2./VII. Mníšek,,"[0, 1]"
N-S 38,Fortification subsections 9.–10./V. Deštné,,"[0, 1]"
N-S 42,Fortification subsections 9.–10./V. Deštné,,"[0, 1]"
OP-S 49,Fortification subsections 5.-6./IV. Horní Benešov,,"[0, 1]"
StM-S 39 Sedlo,Fortification subsection 2./I. Kutný vrch,,"[0, 1]"
T-S 23b,Fortification subsection 4./VI. Odolov,,"[0, 1]"
MJ-S 3b Havraníky,Fortification subsection 1./XI. Šatov,,"[0, 1]"
T-S 69 casemate,Fortification subsection 2./VI. Zlatá Olešnice,,"[0, 1]"
