col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
1974 Cincinnati Oen,Association of Tennis Professionals,"[0, 1]"
2042 Western & Southern Open,,[0]
1992 Thriftway ATP!Championships,Association of Tennis Professionals,"[0, 1]"
2000 Cincinnati Masers,Women's Tennis Association,"[0, 1]"
1899 Cincinnati Rpen,,[0]
2004 estern & Southern Financial Group Masters,Association of Tennis Professionals,"[0, 1]"
2004 Western & Southern FinancialGroup Masters,,[0]
1977 Cincinnat Open,Women's Tennis Association,"[0, 1]"
976 CincinnatiOpen,Association of Tennis Professionals,"[0, 1]"
2017 Western & Southern Ophn,,[0]
1969 Cincinnati pen,,[0]
