col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
SuperValu,Minneapolis,joint-stock company,"[0, 1, 2]"
Makro,,S.A.,"[0, 2]"
Bazaar,,joint-stock company,"[0, 2]"
famila,Bolzano,società a responsabilità limitata,"[0, 1, 2]"
Carrefour,Annecy,,"[0, 1]"
Penny,,Gesellschaft mit beschränkter Haftung,"[0, 2]"
Delhaize,,public limited company,"[0, 2]"
Dirk,,private limited company,"[0, 2]"
Safeway,American Falls,joint-stock company,"[0, 1, 2]"
Kroger,,joint-stock company,"[0, 2]"
Albert Heijn,Zaandam,besloten vennootschap,"[0, 1, 2]"
Asda,Leeds,privately held company,"[0, 1, 2]"
