col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
EIS J033217.10-274221.1,25.33,1.7512,-27.70580972,[0]
NGC 1797,13.5,0.014904,-8.0190472,[0]
[VSR2011] UDS1,25.38,1.766,-5.2744972,[0]
2MASX J13085483+2932394,16.42,0.023,29.5443028,[0]
[VSR2011] UDS35,26.42,,-5.133675,[0]
[BLS2007] EN2-172031,,0.558,41.059528,[0]
[VSR2011] GSD16,26.1,1.6365,-27.7070889,[0]
[BLS2007] EN2-8495,,0.362,40.747417,[0]
2MASX J13150930+2938103,15.35,0.02249,29.6362139,[0]
IC 342,9.1,0.0011,68.0961056,[0]
[WH2008] SST24 J172540.26+584953.4,,1.80375,58.8315,[0]
