col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Francis Scott Key Bridge,,518.5,[0]
Ponte Sant'Angelo,5.0,,[0]
Pont-Neuf,7.0,220.0,[0]
Maslenica Bridge,,315.3,[0]
Maslenica Bridge,,377.6,[0]
State Street Bridge,,400.0,[0]
State Street Bridge,,39.0,[0]
Eurymedon Bridge,9.0,259.5,[0]
Eurymedon Bridge,,14.0,[0]
Folly Bridge,3.0,,[0]
Rocky Creek Bridge,,152.0,[0]
Monroe Street Bridge,,273.0,[0]
Ponte Pietra,5.0,92.8,[0]
Friendship Bridge,,552.4,[0]
Theodor Heuss Bridge,,475.0,[0]
Theodor Heuss Bridge,,830.0,[0]
Colorado Street Bridge,,447.3,[0]
Greenfield Bridge,,462.0,[0]
Clark Bridge,1.0,126.0,[0]
Rockville Bridge,,1164.0,[0]
