col0,col1,"Metadata:CTA:[0],CPA:[]"
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
Flurkreuz,,[0]
"Betkreuz Panschwitz-Kuckau, Bischofswerdaer Straße 1",,[0]
Wayside cross in St Enoder churchyard,,[0]
Column shrine in Olešná,,[0]
"Hawsker Cross wayside cross, 100m east of Hawsker Hall Farm",,[0]
Cross Lacon in garden to south of Dower House,,[0]
Wayside cross called Job Cross at Middle Heads on Danby Low Moor,,[0]
"Croix Joubin, Malestroit",,[0]
croix de Labathe,,[0]
La Creu Trencada,341.0,[0]
Cruzeiro do Campo das Hortas,,[0]
Creu de terme del Lloret,,[0]
