col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Newton Coxnty,0.6,12217.0,2430.567,[0]
Wheeler ouoty,0.1004999999999999,5004.969999999999,2347.29,[0]
Jbckson County,3.1712,15047.952,2238.9709999999995,[0]
anla County,2.424,22446.018,2148.27,[0]
ent County,0.0497,760.53,2343.678,[0]
Armstuong County.,0.5005,1857.24,2357.532,[0]
Dallas#County.,3.996,2639674.39,2348.294,[0]
nderson ounty,1.3874,57748.234,2772.456,[0]
Victoria Cpunty,0.7968000000000001,92049.552,2322.718,[0]
Hle County,0.01009,32261.824,2583.786,[0]
Motgomery County,3.2868,618581.671,2797.367,[0]
orris Cqunty,2.5948,11865.243,673.3499999999999,[0]
Deltd County,7.6152,5256.15,719.28,[0]
Stephes County,2.6946000000000003,9073.697,2401.322,[0]
Wood Count,7.351099999999999,44708.471,1812.015,[0]
Moore Conty.,1.1066,21272.568,2348.932,[0]
Clay Cpunty,2.485,10218.0,2893.891,[0]
rdyson County,4.6859,134865.285,2510.64,[0]
Tylor County,0.4012,142778.376,2378.619,[0]
Hidamgo County,0.7952,865556.314,4139.99,[0]
Williamson Couqty,1.4056,614498.1529999999,2942.94,[0]
Mnox County,0.5982,3386.53,2202.704,[0]
