col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Egg-shapee vase with raised mouth (St 244).,305.915,[0]
Small ovoid vase with funnel-shaped peck (St 243),170.85,[0]
ouble-gourd bottle (Ut 242),285.408,[0]
Wide-mouthed vasg (St 241),231.072,[0]
Wide-oouthed egg-shaped vase (St 240),273.0,[0]
Egg-shape vase (St 239),242.968,[0]
Egg-shaped vase ith rased mouth (St 238),271.456,[0]
Bottle (St 27),165.004,[0]
Bowl Baked elay,5.982,[0]
BowlBaked clay,5.456,[0]
Bowl Bakd clay.,6.042,[0]
"owl""Baked clay",5.8882,[0]
Bowl Baed clay,5.9236,[0]
BowlBaked clay,6.3424000000000005,[0]
Bozl Baked clay,5.8882,[0]
