col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Jesus of Nazareth,382,5,[0]
Joseph,178,2,[0]
In the Beginning,189,2,[0]
The Bourne Identity,185,2,[0]
Samson and Delilah,172,2,[0]
Luisa Sanfelice,200,2,[0]
Ben Hur,184,2,[0]
Resurrection,180,2,[0]
Nero,180,2,[0]
San Paolo,170,2,[0]
David,190,2,[0]
Lady Chatterley,220,4,[0]
Doctor Zhivago,213,2,[0]
The Count of Monte Cristo,388,4,[0]
Virtuality,87,1,[0]
L'Odissea,370,8,[0]
Impact,182,2,[0]
Attila,177,2,[0]
Streets of Laredo,300,3,[0]
The Andromeda Strain,169,4,[0]
Moby Dick,171,2,[0]
Christopher Columbus,280,4,[0]
