col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Fenchmans Cove,1.001,[0]
hrovene,52.576,[0]
ddy Bby,1.002,[0]
Picnif Bay,16.048,[0]
Pina Bay,87.736,[0]
Shallow Baz,1.008,[0]
Shoam Bay,6.024,[0]
Shoal Ba,0.998,[0]
Square Ba|,109.436,[0]
"Stick""Bay.",3.996,[0]
Stigray Bay,161.966,[0]
SugarloafBay.,30.27,[0]
Sunhine Bay,96.127,[0]
Tabuck Bay,93.812,[0]
Trafaogar Bay,88.176,[0]
aiui Bay,1285.12,[0]
Walaby Bay,13.93,[0]
Wobbegong Ba,10.934,[0]
Wratah Bay,33.66,[0]
Wdterfall Bay,163.978,[0]
Willow!Bay,906.51,[0]
Woofy Bay,7.007,[0]
Gordos Bay,31.31,[0]
he Broadater,5.045,[0]
Thomssons Bay,30.752,[0]
