col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
rue Louis-Loucheur,135.0,15.0,[0]
rue Catinat,29.0,9.45,[0]
Gerrard Street,9.7,,[0]
Hamburger Allee,650.0,,[0]
rue Raoul-Dufy,90.0,10.0,[0]
rue Lesage,165.0,7.7,[0]
Gogolya Street,780.0,,[0]
rue Santeuil,160.0,15.0,[0]
Prospekt Lenina,3.0,,[0]
Main Street,1.0,,[0]
rue Duguay-Trouin,150.0,9.74,[0]
rue Lyautey,94.0,13.0,[0]
Perekopskaya Street,170.0,,[0]
Perekopskaya Street,1.6,,[0]
96th Street,1.3,,[0]
rue des Pavillons,123.0,6.0,[0]
rue Fulton,125.0,12.0,[0]
Bundesallee,3.7,,[0]
Altenbekener Damm,1600.0,,[0]
Bankgasse,220.0,,[0]
Rue Saint-Fiacre,165.0,10.0,[0]
