col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
bismuth-206,205.978498757,83,-20028.278,[0]
bismuth-205,204.977386323,83,-21064.504,[0]
bismuth-204,203.977835717,83,-20645.896,[0]
bismuth-203,202.976892145,83,-21524.827,[0]
bismuth-202,201.9777331,83,-20741.484,[0]
bismuth-201,200.977008512,83,-21416.433,[0]
bismuth-200,199.978131093,83,-20370.755,[0]
bismuth-199,198.977672893,83,-20797.566,[0]
bismuth-198,197.979206,83,-19369.486,[0]
bismuth-197,196.978864929,83,-19687.191,[0]
bismuth-196,195.980666509,83,-18009.031,[0]
bismuth-195,194.980648762,83,-18025.561,[0]
bismuth-194,193.982792362,83,-16028.811,[0]
bismuth-193,192.982947223,83,-15884.559,[0]
bismuth-192,191.985470078,83,-13534.535,[0]
bismuth-191,190.985786975,83,-13239.347,[0]
bismuth-190,189.988620883,83,-10599.579,[0]
bismuth-189,188.989195141,83,-10064.66,[0]
bismuth-188,187.992276184,83,-7194.687,[0]
bismuth-187,186.993147276,83,-6383.271,[0]
