col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Euck and Cover,,[0]
The Smurfv 2,Peyo,"[0, 1]"
ho ramed Roger Rabbit,Gary K. Wolf,"[0, 1]"
Aperican Pp,,[0]
Out of the#Inkwell,,[0]
The olden Key,Aleksey Tolstoy,"[0, 1]"
ooney Tunes:#Back in Action,,[0]
Heavy Taffic,,[0]
Detective Pikachv,,[0]
Arthur and the Reveng of Maltazard,,[0]
Alvin and the Chipmunks: Chiqwrecked,,[0]
My Granemother.,,[0]
The Flau,,[0]
Facing t,,[0]
Massuerade,,[0]
Et iundeliv,,[0]
Pecos Bilo,,[0]
Victory Througj Air Power,Alexander P. de Seversky,"[0, 1]"
Alices Wonderland,,[0]
he Flyini Machine,,[0]
Garfield: A Tail of Two Kittiet,,[0]
Telephne,Korney Chukovsky,"[0, 1]"
lice in Wopderland,Lewis Carroll,"[0, 1]"
Nary Poppins,P. L. Travers,"[0, 1]"
Christoher Robin,,[0]
