col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
2017 Qatar Open,2017-02-21,[0]
athletics at the 2021 Junior Pan American Games,2021-11-30,[0]
2021–22 ISU Speed Skating World Cup – World Cup 1,2021-11-12,[0]
101st National High School Rugby Football Tournament,2021-12-27,[0]
2021–22 UEFA Europa League knockout phase,2022-02-17,[0]
8th International Ulla-Klinger-Cup 2021,2021-11-05,[0]
2nd Japan Championship Swimming Tournament,1926-08-14,[0]
2021 Three cushion world championship,2021-12-07,[0]
Japan Swim 2021,2021-04-03,[0]
Japan Swim 2016,2016-04-04,[0]
2022 League of Ireland Premier Division,2022-02-18,[0]
2022 KNSB Dutch Single Distance Championships,2021-10-30,[0]
IBSF World Championships 2023,2023-01-22,[0]
2022 Damallsvenskan,2022-03-26,[0]
Lausanne Billard Masters 2021,2021-11-19,[0]
WTT Contender Tunis 2021,2021-10-24,[0]
Azerbaijan Cup 2021-2022,2021-12-10,[0]
2021 World Series,2021-10-26,[0]
2021 National League Championship Series,2021-10-16,[0]
