col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
Penghu Living Museum,4.0,,[0]
Museum of Santa Verdiana,,178.0,[0]
The New Collection,,100000.0,[0]
České muzeum stříbra,,100000.0,[0]
National Pedagogical Museum and Library of J. A. Comenius in Prague,,59879.0,[0]
archeological museum Barro,,400.0,[0]
Bob Hope Patriotic Hall,10.0,,[0]
Pinacoteca de Sobral,,250.0,[0]
Museum of San Marco,,2000.0,[0]
Aufidenate Civic Museum,,500.0,[0]
Jews in Latvia Museum,,15071.0,[0]
Leonardo Museum,,111.0,[0]
Wulai Atayal Museum,4.0,,[0]
Peoples of Bashkortostan Ethnographic Museum,,10000.0,[0]
Memorial of J. A. Comenius,2.0,,[0]
Regional Museum of K. A. Polanek,,44272.0,[0]
Teatro romano,,690.0,[0]
Regional Gallery of Fine Arts in Zlín,,6310.0,[0]
Villa Pisani,,1520.0,[0]
Museo archeologico nazionale di Siena,,1284.0,[0]
