col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Keting,44264.0,,[0]
Centrl Group,232.068,11589615000.0,[0]
etrica,39720.0,,[0]
Laard,2533.092,,[0]
Wels Fargo,149145.5,,[0]
Standdrd Bank,68379.0,,[0]
Huec,594.6,,[0]
AstraZneca,71235.4,14610595999.999998,[0]
Bohemia Inteactive,351.4,638538886.9999999,[0]
Siko,682.76,599619019.9999999,[0]
Cprus,47616.0,,[0]
Cargil,153450.0,,[0]
Meiloer,1786.212,,[0]
Leatierman,524.475,,[0]
Lasselsbeger,1519.5179999999998,2663676119.9999995,[0]
Deloiute,332456.4,,[0]
Bauerfein,2049.3,,[0]
ostess Brands,19880.0,,[0]
Airstrem,1065.408,,[0]
STMicroeleftronics,51575.48,,[0]
