col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
"Edinburgh, Victoria Street, 1 - 2 India Buildings",,[0]
Former headquarter of Institute of National Remembrance,,[0]
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",,[0]
Nauru House,190.0,[0]
"Edinburgh, 22-26 St Giles Street",,[0]
Sepehr Tower,120.0,[0]
Pianofabrik,,[0]
Landesvertretung Nordrhein-Westfalen Bonn,,[0]
Science and Technology Building,,[0]
Linklater Commons,,[0]
Grant Block,,[0]
Pennsylvania State Office Building,,[0]
Telecommunication Office Building,,[0]
Beit HaMaalot,,[0]
Danish National Bank,,[0]
Looshaus,,[0]
former Landschreiberei,,[0]
ABN AMRO Headquarters,,[0]
