col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
TYC 3551-1307-1,13180.0,6465,49.49338741875999,[0]
KOI-5944,11500.0,5933,50.28153009851,[0]
Kepler-324,29500.0,5283,49.64899723532,[0]
KIC 10905824,5600.0,8359,48.3402211710953,[0]
KIC 11815158,10200.0,7126,50.0621465859878,[0]
KOI-3464,4700.0,5260,50.1501131822673,[0]
KOI-7425,13500.0,6520,48.9033826740715,[0]
KOI-2813,349.9,4703,48.8561503,[0]
KIC 11774013,13200.0,6581,49.9162713061391,[0]
KOI-3419,8530.0,5914,49.46913704476,[0]
KOI-3471,9100.0,4815,50.1473977176121,[0]
Kepler-96,31900.0,5750,40.52514551913,[0]
TYC 3140-482-1,12600.0,6307,40.0242044009187,[0]
V* AU Men,11577.0,6359,-72.69334203676,[0]
BD+13 1880,44700.0,7639,12.60136359564,[0]
V* FX Eri,740.0,6180,-41.5276608872943,[0]
GM Hydrae,7480.0,5637,5.85013277548,[0]
KOI-979,10.0,3559,40.8435626671203,[0]
WASP-91,29500.0,4936,-70.15285401015,[0]
HD 252612,6970.0,6378,23.79416480087,[0]
EPIC 211705654,15000.0,5134,15.98998584608,[0]
TYC 6783-842-1,11700.0,6098,-25.47377518035,[0]
V* V1207 Cen,2.51,5558,-32.88706710901,[0]
HD 226794,6300.0,8549,41.355165132355,[0]
