col0,col1,"Metadata:CTA:[0],CPA:[]"
One International Finance Centre,,[0]
Seu de l'Editorial Sopena,,[0]
Forum Bonn,,[0]
Taunusanlage 11,75.0,[0]
Gewerkschaftshaus Dresden,,[0]
Confederation Building,,[0]
Confederation Building,41.0,[0]
Haus der Werbung,38.5,[0]
Janssens-Orella-Birk Building,,[0]
Dagens Nyheter Tower,,[0]
Düsseldorf Kasernenstrasse 40,,[0]
Church Administration Building,,[0]
One Angel Square,72.0,[0]
Rössler and Fischer spice factory,,[0]
Cincinnati and Suburban Telephone Company Building,,[0]
"Hamashbir, King George Street, Jerusalem",,[0]
Mitsubishi Heavy Industries Yokohama Building,,[0]
"Kobe Commerce, Industry and Trade Center Building",,[0]
Numbers 2 and 4 and railings to areas,,[0]
Marunouchi Yaesu Building,120.0,[0]
Handford Block,,[0]
Neroport,,[0]
Helmsley Building,172.0,[0]
Atelier Dirk Cousaert,,[0]
