col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Saint Francis Medical Center Helistop,,[0]
Middlesex Hospital heliport,57.0,[0]
Wayne County Hospital heliport,1093.0,[0]
Wayne County Hospital heliport,923.0,[0]
Kapooka,,[0]
Oxbow heliport,475.0,[0]
Gottlieb,688.0,[0]
Channel 13,715.0,[0]
Franklin County Memorial Hospital heliport,1950.0,[0]
Milton Airport,,[0]
St. Elizabeth Hospital heliport,708.0,[0]
St. Elizabeth Hospital heliport,10.0,[0]
Baptist Medical Center heliport,170.0,[0]
Baptist Medical Center heliport,710.0,[0]
Jordan Seaplane Base,,[0]
Pinetree,1060.0,[0]
La Plata,6.0,[0]
