col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Alvin and the Chipmunks: The Squeakquel,2009-12-25,[0]
Dragon Girl,2022-10-27,[0]
Facing It,2018-01-01,[0]
Who Framed Roger Rabbit,1988-12-02,[0]
The Smurfs,2011-09-02,[0]
Alvin and the Chipmunks,2007-12-20,[0]
Walking with Dinosaurs,2013-12-19,[0]
Mystery-Bouffe,1969-01-01,[0]
Looney Tunes: Back in Action,2003-12-04,[0]
Arthur and the Revenge of Maltazard,2009-12-03,[0]
Immortal,2004-01-01,[0]
Sea Dreams,1914-01-01,[0]
Little Red Riding Hood,1922-01-01,[0]
