col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Huzebosk 2a,Boarnsterhim,"[0, 1]"
Buland Darwaza,Agra district,"[0, 1]"
Château Neercanne: gatehouse and farm,Maastricht,"[0, 1]"
Poortgebouw Siccema State (Herbaijum),Franekeradeel,"[0, 1]"
Poortgebouw Huis Doorn,Utrechtse Heuvelrug,"[0, 1]"
"Pforte zum Waldpark Blasewitz, Goetheallee 26",Dresden,"[0, 1]"
gate building Vroedvrouwenschool,Heerlen,"[0, 1]"
Schaloen Castle: outbuildings including gatehouse,Valkenburg aan de Geul,"[0, 1]"
Friedhofstor,Kitzingen,"[0, 1]"
Borgharen Castle: gate house with porter's lodge,Maastricht,"[0, 1]"
Norbertijnerpoort,Tilburg,"[0, 1]"
"Proveniershuis, Schiedam",Schiedam,"[0, 1]"
Huis Gronsveld: gate building,Eijsden-Margraten,"[0, 1]"
gate building in Själö hospital area,Pargas,"[0, 1]"
"3, Tamka Street in Warsaw, gate",Śródmieście,"[0, 1]"
