col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
francium-233,1763632.687,87,,[0]
francium-204m2,,87,10.0,[0]
francium-230,1748851.92,87,,[0]
francium-224,1718162.208,87,1.0,[0]
francium-223,1713457.072,87,,[0]
francium-209,1622610.792,87,4.5,[0]
francium-217,1679097.175,87,4.5,[0]
francium-219,1690936.449,87,4.5,[0]
francium-225,1724161.5,87,1.5,[0]
francium-207,1605542.922,87,4.5,[0]
francium-216,1672369.416,87,1.0,[0]
francium-206m2,,87,10.0,[0]
francium-204m1,,87,7.0,[0]
francium-232,1758408.504,87,,[0]
francium-203,1569536.724,87,4.5,[0]
francium-211,1639123.96,87,4.5,[0]
francium-231,1754329.5,87,0.5,[0]
francium-200,1540066.8,87,3.0,[0]
