col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Northeim (Han) station,Hannover Hbf–Kassel Hbf railway,"[0, 1]"
Nordstemmen station,Hannover Hbf–Kassel Hbf railway,"[0, 1]"
Lutherstadt Wittenberg Hauptbahnhof,Anhalt Railway,"[0, 1]"
Ostkreuz,Berlin–Wrocław railway,"[0, 1]"
Ludwigshafen Central Station,Mannheim–Saarbrücken railway,"[0, 1]"
Niederwalgern station,Main–Weser Railway,"[0, 1]"
Gießen station,Main–Weser Railway,"[0, 1]"
Appenweier station,Rench Valley Railway,"[0, 1]"
Frankfurt (Main) Stadion,Köln–Frankfurt high-speed rail line,"[0, 1]"
Arth-Goldau railway station,Gotthard railway,"[0, 1]"
Stolberg Central Station,Mönchengladbach–Stolberg railway,"[0, 1]"
Motherwell railway station,West Coast Main Line,"[0, 1]"
"Victoria train station, Buenos Aires",Retiro-Tigre line,"[0, 1]"
Haedo train station,Once-Santa Rosa-Toay branch,"[0, 1]"
Empalme Lobos train station,Empalme Lobos-Navarro branch,"[0, 1]"
Floral Park,Hempstead Branch,"[0, 1]"
Hinaga Station,Utsube Line,"[0, 1]"
Howth Junction & Donaghmede railway station,Belfast–Dublin line,"[0, 1]"
Moyasta Junction railway station,West Clare Railway,"[0, 1]"
Gare de Saint-Valery-Ville,Chemin de Fer de la Baie de Somme,"[0, 1]"
Böblingen Zimmerschlag,Schönbuch Railway,"[0, 1]"
