col0,col1,"Metadata:CTA:[0],CPA:[]"
Sweden at the Summer Olympics,,[0]
Luxembourg at the 2000 Summer Olympics,,[0]
Saint Kitts and Nevis at the 2016 Summer Olympics,7.0,[0]
Portugal at the 1988 Summer Olympics,,[0]
Albania at the 2006 Winter Olympics,,[0]
Benin at the 2004 Summer Olympics,,[0]
Aruba at the Summer Olympics,,[0]
Puerto Rico at the Olympics,,[0]
Pakistan at the 2014 Winter Olympics,,[0]
Mauritius at the 1992 Summer Olympics,,[0]
Greece at the 1968 Winter Olympics,,[0]
Gambia at the 2004 Summer Olympics,,[0]
Hungary at the 1960 Summer Olympics,,[0]
Ukraine at the 2010 Winter Olympics,,[0]
Ukraine at the 2012 Summer Olympics,,[0]
Venezuela at the 1956 Summer Olympics,,[0]
