col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Kamiyamada Line,25.9,[0]
Esashi Line,37.8,[0]
Tōbu Keishi Line,6.3,[0]
Merseburg–Leipzig-Leutzsch railway,27.73,[0]
Kajiyabara Line,6.9,[0]
Simbach–Pocking railway,28.38,[0]
Übersee–Marquartstein railway line,8.02,[0]
Shokotsu Line,34.3,[0]
Großpostwitz–Löbau railway line,18.576,[0]
Khyber Pass Railway,58.0,[0]
Toya Railway Line,,[0]
Tōbu Yaita Line,,[0]
Tumut railway line,,[0]
Lockwitztal Tramway,9.2,[0]
Halsskovbanen,,[0]
former railway line Brno - Tišnov,28.4,[0]
Oschatz–Strehla railway line,11.91,[0]
Valley Subdivision,130.421,[0]
Tanggu Railway,,[0]
railway line Chotětov - Dolní Cetno,8.534,[0]
Biella–Balma railway,13.0,[0]
New Portage Branch,,[0]
Katsuta Line,13.8,[0]
