col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Frýdek-Místek,Frýdek-Místek District,,"[0, 1]"
Kolín,Kolín District,,"[0, 1]"
Zlín,Zlín District,,"[0, 1]"
Kroměříž,Kroměříž District,,"[0, 1]"
Břeclav,Břeclav District,,"[0, 1]"
Ústí nad Labem,Northern Bohemia,,"[0, 1]"
Vyškov,Vyškov District,,"[0, 1]"
Česká Lípa,,Lipý Castle,"[0, 2]"
Rokycany,Rokycany District,,"[0, 1]"
Strakonice,Strakonice District,,"[0, 1]"
Ostrava,Moravian-Silesian Region,,"[0, 1]"
Louny,Louny District,,"[0, 1]"
Rychnov nad Kněžnou,Rychnov nad Kněžnou District,,"[0, 1]"
Jihlava,Jihlava District,,"[0, 1]"
Křemže,,Castle ruin of Kynžvart,"[0, 2]"
Hodonín,Hodonín District,,"[0, 1]"
Děčín,Děčín District,,"[0, 1]"
Teplice,Teplice District,,"[0, 1]"
Nový Jičín,Nový Jičín District,,"[0, 1]"
Přibyslav,,Žižkova mohyla,"[0, 2]"
Mořkov,,protestant cemetery in Mořkov,"[0, 2]"
